model,k,answer,top1,correct,top1_is_candidate,rank_of_answer,rank_within_candidates,answer_in_train_targets
tree_salet_endgame,1,ABOVE,ABODE,False,False,105,1,True
tree_salet_endgame,1,ACORN,ACORN,True,True,1,1,True
tree_salet_endgame,1,AGAIN,VAPID,False,False,131,1,True
tree_salet_endgame,1,AGREE,AIDER,False,False,32,1,True
tree_salet_endgame,1,AMBLE,AMBLE,True,True,1,1,True
tree_salet_endgame,1,AROMA,ARMOR,False,False,6,1,True
tree_salet_endgame,1,ARSON,ACORN,False,False,10,1,True
tree_salet_endgame,1,ATTIC,APTLY,False,False,4,1,False
tree_salet_endgame,1,AWOKE,AGAPE,False,False,29,1,False
tree_salet_endgame,1,AXIOM,ABHOR,False,False,132,1,False
tree_salet_endgame,1,BAYOU,DODGY,False,False,3,1,True
tree_salet_endgame,1,BLEAT,BLEAT,True,True,1,1,True
tree_salet_endgame,1,BLOOM,BLOWN,False,False,3,1,True
tree_salet_endgame,1,BLUER,BLUER,True,True,1,1,True
tree_salet_endgame,1,BLUNT,BLUNT,True,True,1,1,True
tree_salet_endgame,1,BOSSY,BOOZY,False,False,6,1,False
tree_salet_endgame,1,BOULE,LOVER,False,False,14,1,True
tree_salet_endgame,1,BRASS,BRASS,True,True,1,1,True
tree_salet_endgame,1,BRAVE,BRAVE,True,True,1,1,True
tree_salet_endgame,1,BROOD,DROOP,False,False,3,1,True
tree_salet_endgame,1,BROTH,BROTH,True,True,1,1,True
tree_salet_endgame,1,BYLAW,ALBUM,False,False,1453,1,False
tree_salet_endgame,1,CADDY,CADDY,True,True,1,1,True
tree_salet_endgame,1,CAPUT,CHANT,False,False,9,1,True
tree_salet_endgame,1,CATER,CATER,True,True,1,1,True
tree_salet_endgame,1,CHAFE,CHEAP,False,False,2,1,True
tree_salet_endgame,1,CHOIR,CRICK,False,False,5,1,True
tree_salet_endgame,1,CHUMP,CHUCK,False,False,2,1,True
tree_salet_endgame,1,CIRCA,BRIAR,False,False,173,1,True
tree_salet_endgame,1,CLAMP,CLASH,False,False,6,1,False
tree_salet_endgame,1,CLONE,CLOVE,False,False,2,1,True
tree_salet_endgame,1,CLUMP,CLUCK,False,False,2,1,True
tree_salet_endgame,1,COACH,COCOA,False,False,4,1,True
tree_salet_endgame,1,COVET,BOOTH,False,False,5,1,True
tree_salet_endgame,1,CRAWL,CRACK,False,False,4,1,True
tree_salet_endgame,1,CREST,CREST,True,True,1,1,True
tree_salet_endgame,1,CRIED,CRIED,True,True,1,1,True
tree_salet_endgame,1,CRUMP,CRUMP,True,True,1,1,True
tree_salet_endgame,1,CUBIC,CHICK,False,False,10,1,True
tree_salet_endgame,1,CUMIN,CONIC,False,False,90,1,True
tree_salet_endgame,1,CURSE,CURSE,True,True,1,1,True
tree_salet_endgame,1,DAISY,ASSAY,False,False,30,1,True
tree_salet_endgame,1,DEPTH,DEPTH,True,True,1,1,True
tree_salet_endgame,1,DICEY,DICED,False,False,6,1,True
tree_salet_endgame,1,DRUID,RIGID,False,False,3,1,True
tree_salet_endgame,1,ENDOW,ENVOY,False,False,3,1,False
tree_salet_endgame,1,ERODE,DROVE,False,False,200,1,False
tree_salet_endgame,1,ETHIC,EXTRA,False,False,3,1,True
tree_salet_endgame,1,ETUDE,THREE,False,False,3,1,True
tree_salet_endgame,1,EVERY,CURIE,False,False,398,1,True
tree_salet_endgame,1,EVOKE,DOPEY,False,False,56,1,True
tree_salet_endgame,1,EXCEL,EXCEL,True,True,1,1,True
tree_salet_endgame,1,FAIRY,FAIRY,True,True,1,1,True
tree_salet_endgame,1,FALSE,BLAZE,False,False,228,1,False
tree_salet_endgame,1,FECAL,PEACH,False,False,42,1,True
tree_salet_endgame,1,FIFTY,BITTY,False,False,31,1,False
tree_salet_endgame,1,FLASK,FLASK,True,True,1,1,True
tree_salet_endgame,1,FLOCK,FLOOR,False,False,3,1,True
tree_salet_endgame,1,FOLLY,FOLLY,True,True,1,1,True
tree_salet_endgame,1,FRILL,BRILL,False,False,2,1,True
tree_salet_endgame,1,FRISK,FRISK,True,True,1,1,True
tree_salet_endgame,1,FROWN,HORNY,False,False,24,1,True
tree_salet_endgame,1,GAMER,EAGER,False,False,4,1,True
tree_salet_endgame,1,GEEKY,FEVER,False,False,654,1,False
tree_salet_endgame,1,GLAZE,GLAZE,True,True,1,1,False
tree_salet_endgame,1,GLEAM,FLAKE,False,False,421,1,False
tree_salet_endgame,1,GOING,BOING,False,False,4,1,False
tree_salet_endgame,1,GOUGE,MONEY,False,False,24,1,True
tree_salet_endgame,1,GRAZE,GRACE,False,False,4,1,False
tree_salet_endgame,1,GROSS,FROSH,False,False,13,1,False
